OBJECTID;BaselineID;Group;TransOrder;ProcTime;Autogen;StartX;StartY;EndX;EndY;Azimuth;SHAPE_Leng;SETOR
345;1;0;345;13/07/2020 16:08;1;297401,84;9135535,45;297346,37;9135396,08;201,7;-10,82149714;1
346;1;0;346;13/07/2020 16:08;1;297399,02;9135536,48;297352,58;9135393,85;198,03;-10,74066206;1
347;1;0;347;13/07/2020 16:08;1;297396,21;9135537,48;297337,8;9135399,32;202,92;-10,62215645;1
348;1;0;348;13/07/2020 16:08;1;297393,51;9135538,75;297327,2;9135404,2;206,23;-10,8898957;1
349;1;0;349;13/07/2020 16:08;1;297390,79;9135540,02;297320,31;9135407,61;208,03;-10,23809456;1
350;1;0;350;13/07/2020 16:08;1;297388,22;9135541,55;297321,86;9135407,02;206,26;-10,11773751;1
351;1;0;351;13/07/2020 16:08;1;297385,41;9135542,56;297326,61;9135404,57;203,08;-9,612474791;1
352;1;0;352;13/07/2020 16:08;1;297382,84;9135544,09;297321,1;9135407,38;204,3;-9,41040966;1
353;1;0;353;13/07/2020 16:08;1;297379,97;9135544,95;297322,94;9135406,22;202,35;-8,613845843;1
372;1;0;372;13/07/2020 16:08;1;297358,7;9135527,73;297500,19;9135477,94;109,39;-0,213146994;1
389;1;0;389;13/07/2020 16:08;1;297374,51;9135488,01;297478,93;9135595,7;44,11;-27,89622682;2
391;1;0;391;13/07/2020 16:08;1;297377,5;9135482,96;297491,56;9135580,38;49,5;-34,36711933;2
392;1;0;392;13/07/2020 16:08;1;297379,68;9135480,9;297480,43;9135592,03;42,2;-33,36324457;2
393;1;0;393;13/07/2020 16:08;1;297381,94;9135478,93;297483,49;9135589,33;42,61;-35,6999603;2
394;1;0;394;13/07/2020 16:08;1;297384,16;9135476,92;297480,39;9135591,98;39,91;-36,35187844;2
395;1;0;395;13/07/2020 16:08;1;297386,44;9135474,97;297484,19;9135588,75;40,67;-37,87309525;2
396;1;0;396;13/07/2020 16:08;1;297388,71;9135473,01;297477,79;9135593,7;36,43;-38,0839442;2
397;1;0;397;13/07/2020 16:08;1;297391,31;9135471,52;297468,9;9135599,9;31,15;-37,68789448;2
398;1;0;398;13/07/2020 16:08;1;297393,68;9135469,7;297498,66;9135576,84;44,42;-42,4718634;2
402;1;0;402;13/07/2020 16:08;1;297401,8;9135461,29;297480,72;9135588,85;31,74;-44,82629901;2
403;1;0;403;13/07/2020 16:08;1;297404,36;9135459,72;297482,45;9135587,8;31,37;-45,62207182;2
405;1;0;405;13/07/2020 16:08;1;297409,84;9135457,49;297448,03;9135602,55;14,75;-13,85389435;1
406;1;0;406;13/07/2020 16:08;1;297412,7;9135456,57;297466,61;9135596,55;21,06;-44,91835836;2
407;1;0;407;13/07/2020 16:08;1;297415,47;9135455,44;297467,5;9135596,12;20,3;-44,97242958;2
